time,north,east,down,roll,pitch,yaw,speed,p,q,r,at
1.62,-3901.34,1580.65,-7.38239,-32.7204,-6.32758,104.06,27.3464,-0.153228,10.3773,-8.67967,0.395797
1.63,-3901.41,1580.91,-7.35235,-32.7074,-6.28715,103.931,27.3462,-0.0900149,10.3783,-8.67297,0.391859
1.64,-3901.47,1581.18,-7.32249,-32.6938,-6.24666,103.801,27.3458,-0.0311978,10.3774,-8.66722,0.38796
1.65,-3901.54,1581.44,-7.29284,-32.6798,-6.20613,103.671,27.3454,0.0233794,10.3746,-8.66242,0.3841
1.66,-3901.6,1581.71,-7.26337,-32.6653,-6.16557,103.541,27.3448,0.0738707,10.3701,-8.65854,0.380278
1.67,-3901.67,1581.97,-7.2341,-32.6505,-6.12501,103.412,27.3441,0.120427,10.3638,-8.65558,0.376494
1.68,-3901.73,1582.24,-7.20502,-32.6353,-6.08445,103.282,27.3434,0.163198,10.3558,-8.65352,0.372748
1.69,-3901.79,1582.5,-7.17613,-32.6198,-6.04393,103.153,27.3425,0.202328,10.3462,-8.65234,0.369039
1.7,-3901.85,1582.77,-7.14744,-32.604,-6.00346,103.024,27.3415,0.237961,10.3351,-8.65203,0.365367
1.71,-3901.91,1583.03,-7.11894,-32.588,-5.96305,102.894,27.3404,0.270237,10.3224,-8.65256,0.361732
1.72,-3901.97,1583.3,-7.09063,-32.5718,-5.92273,102.765,27.3392,0.299293,10.3083,-8.65392,0.358132
1.73,-3902.03,1583.56,-7.06252,-32.5554,-5.8825,102.636,27.3379,0.325262,10.2927,-8.6561,0.354569
1.74,-3902.09,1583.83,-7.0346,-32.5388,-5.84239,102.507,27.3365,0.348278,10.2758,-8.65907,0.351041
1.75,-3902.15,1584.09,-7.00687,-32.5222,-5.8024,102.378,27.335,0.368467,10.2576,-8.66282,0.347548
1.76,-3902.21,1584.36,-6.97933,-32.5054,-5.76256,102.249,27.3334,0.385955,10.2381,-8.66732,0.34409
1.77,-3902.27,1584.62,-6.95198,-32.4886,-5.72288,102.121,27.3317,0.400865,10.2174,-8.67257,0.340666
1.78,-3902.32,1584.89,-6.92482,-32.4717,-5.68337,101.992,27.3299,0.413315,10.1955,-8.67853,0.337276
1.79,-3902.38,1585.16,-6.89785,-32.4549,-5.64404,101.864,27.328,0.423422,10.1726,-8.6852,0.33392
1.8,-3902.43,1585.42,-6.87106,-32.438,-5.60491,101.735,27.326,0.4313,10.1486,-8.69255,0.330598
1.81,-3902.49,1585.69,-6.84447,-32.4212,-5.566,101.607,27.3239,0.437059,10.1235,-8.70057,0.327308
1.82,-3902.54,1585.95,-6.81806,-32.4044,-5.5273,101.478,27.3217,0.440805,10.0975,-8.70923,0.324052
1.83,-3902.6,1586.22,-6.79184,-32.3877,-5.48884,101.35,27.3195,0.442644,10.0706,-8.71851,0.320827
1.84,-3902.65,1586.49,-6.7658,-32.371,-5.45063,101.222,27.3171,0.442677,10.0428,-8.72841,0.317635
1.85,-3902.7,1586.75,-6.73994,-32.3545,-5.41267,101.094,27.3146,0.441001,10.0142,-8.73889,0.314474
1.86,-3902.76,1587.02,-6.71427,-32.3381,-5.37498,100.966,27.312,0.437714,9.98477,-8.74994,0.311345
1.87,-3902.81,1587.29,-6.68877,-32.3218,-5.33756,100.838,27.3094,0.432907,9.95462,-8.76153,0.308247
1.88,-3902.86,1587.56,-6.66346,-32.3056,-5.30043,100.711,27.3066,0.42667,9.92377,-8.77366,0.30518
1.89,-3902.91,1587.82,-6.63832,-32.2897,-5.26359,100.583,27.3038,0.419091,9.89226,-8.7863,0.302144
1.9,-3902.96,1588.09,-6.61336,-32.2738,-5.22706,100.455,27.3008,0.410252,9.86014,-8.79943,0.299137
1.91,-3903.01,1588.36,-6.58858,-32.2582,-5.19083,100.328,27.2978,0.400237,9.82745,-8.81303,0.296161
1.92,-3903.06,1588.62,-6.56397,-32.2428,-5.15493,100.2,27.2947,0.389123,9.79422,-8.82709,0.293214
1.93,-3903.1,1588.89,-6.53953,-32.2275,-5.11935,100.073,27.2915,0.376986,9.76049,-8.84159,0.290296
1.94,-3903.15,1589.16,-6.51526,-32.2125,-5.0841,99.9455,27.2882,0.363901,9.72631,-8.8565,0.287408
1.95,-3903.2,1589.43,-6.49116,-32.1977,-5.04919,99.8182,27.2849,0.349937,9.69171,-8.87181,0.284548
1.96,-3903.24,1589.7,-6.46723,-32.1831,-5.01462,99.6911,27.2814,0.335162,9.65673,-8.88751,0.281717
1.97,-3903.29,1589.96,-6.44347,-32.1688,-4.98041,99.564,27.2779,0.319643,9.6214,-8.90357,0.278914
1.98,-3903.33,1590.23,-6.41987,-32.1547,-4.94655,99.4369,27.2742,0.303443,9.58576,-8.91998,0.276138
